SEANCE    ;GROUPE    ;CODE        ;VALEUR          ;OUVERTURE ;CLOTURE    ;PLUS_BAS   ;PLUS_HAUT ;QUANTITE_NEGOCIEE;NB_TRANSACTION ;CAPITAUX 
03/01/2022   ;11        ;TN0001100254;SFBT              ;18.280    ;17.990    ;17.910    ;18.280    ;7320              ;37             ;131937.280
03/01/2022   ;11        ;TN0001600154;ATTIJARI BANK     ;30.400    ;30.300    ;30.000    ;30.400    ;855               ;7              ;25714.100
03/01/2022   ;11        ;TN0001800457;BIAT              ;59.190    ;59.000    ;59.000    ;60.000    ;1229              ;8              ;73475.740
03/01/2022   ;11        ;TN0001900604;BH BANK           ;9.400     ;9.190     ;9.190     ;9.470     ;4127              ;14             ;38848.700
03/01/2022   ;11        ;TN0002200053;BT                ;5.500     ;5.380     ;5.300     ;5.490     ;44332             ;59             ;237541.150
03/01/2022   ;11        ;TN0002600955;STB               ;2.980     ;2.840     ;2.840     ;2.960     ;94183             ;26             ;273572.590
03/01/2022   ;11        ;TN0003100609;BNA               ;7.520     ;7.700     ;7.520     ;7.820     ;7051              ;32             ;53199.790
03/01/2022   ;11        ;TN0003200755;ICF               ;81.000    ;80.000    ;80.000    ;80.000    ;33                ;1              ;2640.000
03/01/2022   ;11        ;TN0003400058;AMEN BANK         ;24.200    ;24.250    ;24.200    ;24.350    ;392               ;15             ;9499.850
03/01/2022   ;11        ;TN0003600350;ATB               ;2.290     ;2.350     ;2.220     ;2.360     ;14223             ;24             ;31836.570
03/01/2022   ;11        ;TN0003900107;UIB               ;15.700    ;15.000    ;15.000    ;15.300    ;280               ;4              ;4260.000
03/01/2022   ;11        ;TN0004700100;ATL               ;1.820     ;1.830     ;1.830     ;1.830     ;1                 ;1              ;1.830
03/01/2022   ;11        ;TN0005700018;POULINA GP HOLDING;11.400    ;11.000    ;11.000    ;11.000    ;386               ;9              ;4246.000
03/01/2022   ;11        ;TN0006530018;SOTETEL           ;2.820     ;2.790     ;2.700     ;2.800     ;7364              ;23             ;19984.050
03/01/2022   ;11        ;TN0006560015;SOTUVER           ;7.320     ;7.250     ;7.000     ;7.360     ;723               ;7              ;5181.580
03/01/2022   ;11        ;TN0006580013;SOTUMAG           ;3.800     ;3.860     ;3.800     ;3.940     ;1395              ;31             ;5375.260
03/01/2022   ;11        ;TN0006590012;SIAME             ;4.310     ;4.280     ;4.200     ;4.340     ;1274              ;16             ;5460.540
03/01/2022   ;11        ;TN0006610018;ATTIJARI LEASING  ;12.000    ;12.720    ;12.100    ;12.100    ;40                ;5              ;484.000
03/01/2022   ;11        ;TN0006660013;SOTRAPIL          ;12.850    ;13.500    ;13.100    ;13.500    ;160               ;4              ;2147.350
03/01/2022   ;11        ;TN0006780019;SOMOCER           ;0.850     ;0.850     ;0.820     ;0.850     ;30654             ;20             ;25693.360
03/01/2022   ;11        ;TN0007250012;ADWYA             ;4.750     ;4.750     ;0.000     ;0.000     ;0                 ;0              ;0.000
03/01/2022   ;11        ;TN0007270010;TPR               ;4.370     ;4.370     ;4.200     ;4.370     ;18477             ;40             ;77672.940
